Year,Month,Day,MJD,UT1R-TAI
2013,11,21,56617.0,-35.14314231689653
2013,11,22,56618.0,-35.14434743482342
2013,11,23,56619.0,-35.1455704036227
2013,11,24,56620.0,-35.14682015987607
2013,11,25,56621.0,-35.148077947519596
2013,11,26,56622.0,-35.149320845392204
2013,11,27,56623.0,-35.150540535924
2013,11,28,56624.0,-35.15174478564817
2013,11,29,56625.0,-35.15294049769795
2013,11,30,56626.0,-35.15413614242819
2013,12,1,56627.0,-35.1553410902337
2013,12,2,56628.0,-35.15655335277093
2013,12,3,56629.0,-35.15775983796822
2013,12,4,56630.0,-35.158945684360546
2013,12,5,56631.0,-35.16010886237484
2013,12,6,56632.0,-35.16125646897931
2013,12,7,56633.0,-35.16239598168847
2013,12,8,56634.0,-35.1635199726295
2013,12,9,56635.0,-35.164611846405826
2013,12,10,56636.0,-35.16566292258835
2013,12,11,56637.0,-35.16668304410605
2013,12,12,56638.0,-35.16771223861138
2013,12,13,56639.0,-35.16877912443321
2013,12,14,56640.0,-35.169867393243386
2013,12,15,56641.0,-35.17095117286993
2013,12,16,56642.0,-35.17201994589865
2013,12,17,56643.0,-35.1730706275005
2013,12,18,56644.0,-35.17410827647096
2013,12,19,56645.0,-35.17515799601788
2013,12,20,56646.0,-35.17623371243087
2013,12,21,56647.0,-35.17737240618675
2013,12,22,56648.0,-35.17856952736987
2013,12,23,56649.0,-35.179780824102
2013,12,24,56650.0,-35.1809922962506
2013,12,25,56651.0,-35.18221524194477
2013,12,26,56652.0,-35.18346911654407
2013,12,27,56653.0,-35.184764745391895
2013,12,28,56654.0,-35.18609767137526
2013,12,29,56655.0,-35.187448300193886
2013,12,30,56656.0,-35.1887851938079
2013,12,31,56657.0,-35.19007671059781
2014,1,1,56658.0,-35.19130887800914
2014,1,2,56659.0,-35.1924735896244
2014,1,3,56660.0,-35.193567723227204
2014,1,4,56661.0,-35.194597485482156
2014,1,5,56662.0,-35.19558987084452
2014,1,6,56663.0,-35.196568943404536
2014,1,7,56664.0,-35.19753191109855
2014,1,8,56665.0,-35.198461871842454
2014,1,9,56666.0,-35.19936504988163
2014,1,10,56667.0,-35.20025966914651
2014,1,11,56668.0,-35.20115795824688
2014,1,12,56669.0,-35.20205923571964
2014,1,13,56670.0,-35.202970591653276
2014,1,14,56671.0,-35.203900289622794
2014,1,15,56672.0,-35.204857712346254
2014,1,16,56673.0,-35.205842888937674
2014,1,17,56674.0,-35.20685485853091
2014,1,18,56675.0,-35.20789539712873
2014,1,19,56676.0,-35.20897500513579
2014,1,20,56677.0,-35.210090886098236
2014,1,21,56678.0,-35.21120833180901
2014,1,22,56679.0,-35.212309447174086
2014,1,23,56680.0,-35.21338991205439
2014,1,24,56681.0,-35.21444092796475
2014,1,25,56682.0,-35.2154567520777
2014,1,26,56683.0,-35.216448312984845
2014,1,27,56684.0,-35.217426164326575
2014,1,28,56685.0,-35.21835196040839
2014,1,29,56686.0,-35.21925239625974
2014,1,30,56687.0,-35.22018803609969
2014,1,31,56688.0,-35.221104085133554
2014,2,1,56689.0,-35.22195083208212
2014,2,2,56690.0,-35.222737236906184
2014,2,3,56691.0,-35.223503060133254
2014,2,4,56692.0,-35.22425715356435
2014,2,5,56693.0,-35.224982500227405
2014,2,6,56694.0,-35.2256772905488
2014,2,7,56695.0,-35.22636305885394
