Year,Month,Day,MJD,HAM_ms
1978,1,17,43525,0.33129853
1978,1,18,43526,0.33197840
1978,1,19,43527,0.33220537
1978,1,20,43528,0.33262996
1978,1,21,43529,0.33340620
1978,1,22,43530,0.33386219
1978,1,23,43531,0.33374782
1978,1,24,43532,0.33419852
1978,1,25,43533,0.33387067
1978,1,26,43534,0.33430119
1978,1,27,43535,0.33477999
1978,1,28,43536,0.33442397
1978,1,29,43537,0.33340137
1978,1,30,43538,0.33151908
1978,1,31,43539,0.33021433
1978,2,1,43540,0.32873077
1978,2,2,43541,0.32667127
1978,2,3,43542,0.32637654
1978,2,4,43543,0.32543541
1978,2,5,43544,0.32387009
1978,2,6,43545,0.32400372
1978,2,7,43546,0.32610881
1978,2,8,43547,0.32831445
1978,2,9,43548,0.33113871
1978,2,10,43549,0.33401295
1978,2,11,43550,0.33681596
1978,2,12,43551,0.33917745
1978,2,13,43552,0.34145099
1978,2,14,43553,0.34231600
1978,2,15,43554,0.34227034
1978,2,16,43555,0.34305871
1978,2,17,43556,0.34439377
1978,2,18,43557,0.34533510
1978,2,19,43558,0.34551379
1978,2,20,43559,0.34641887
1978,2,21,43560,0.34844116
1978,2,22,43561,0.35049043
1978,2,23,43562,0.35296801
1978,2,24,43563,0.35560543
1978,2,25,43564,0.35770078
1978,2,26,43565,0.35850235
1978,2,27,43566,0.35933364
1978,2,28,43567,0.36077568
1978,3,1,43568,0.36384987
1978,3,2,43569,0.36833262
1978,3,3,43570,0.37281303
1978,3,4,43571,0.37556022
1978,3,5,43572,0.37881406
1978,3,6,43573,0.38219552
1978,3,7,43574,0.38690463
1978,3,8,43575,0.38979528
1978,3,9,43576,0.39127716
1978,3,10,43577,0.39229906
1978,3,11,43578,0.39267452
1978,3,12,43579,0.39415320
1978,3,13,43580,0.39483255
1978,3,14,43581,0.39742281
1978,3,15,43582,0.39930646
1978,3,16,43583,0.40031262
1978,3,17,43584,0.40130018
1978,3,18,43585,0.40162763
1978,3,19,43586,0.40148600
1978,3,20,43587,0.40203493
1978,3,21,43588,0.40201390
1978,3,22,43589,0.40284711
1978,3,23,43590,0.40414102
1978,3,24,43591,0.40513962
1978,3,25,43592,0.40614020
1978,3,26,43593,0.40849860
1978,3,27,43594,0.41103358
1978,3,28,43595,0.41262705
1978,3,29,43596,0.41484127
1978,3,30,43597,0.41667370
1978,3,31,43598,0.41868925
1978,4,1,43599,0.42206668
1978,4,2,43600,0.42388350
1978,4,3,43601,0.42456391
1978,4,4,43602,0.42609698
1978,4,5,43603,0.42818845
1978,4,6,43604,0.42966135
1978,4,7,43605,0.42991367
1978,4,8,43606,0.43042661
1978,4,9,43607,0.43044450
1978,4,10,43608,0.43077595
1978,4,11,43609,0.43073464
1978,4,12,43610,0.43053909
1978,4,13,43611,0.43039128
1978,4,14,43612,0.43126173
1978,4,15,43613,0.43170550
1978,4,16,43614,0.43060675
1978,4,17,43615,0.43211572
1978,4,18,43616,0.43341786
1978,4,19,43617,0.43507692
1978,4,20,43618,0.43707797
1978,4,21,43619,0.43732795
1978,4,22,43620,0.43797961
1978,4,23,43621,0.43859521
1978,4,24,43622,0.43999793
1978,4,25,43623,0.44135304
1978,4,26,43624,0.44205632
1978,4,27,43625,0.44264833
1978,4,28,43626,0.44147506
1978,4,29,43627,0.44025256
1978,4,30,43628,0.44062239
1978,5,1,43629,0.44171317
1978,5,2,43630,0.44125690
1978,5,3,43631,0.44240952
1978,5,4,43632,0.44278634
1978,5,5,43633,0.44067505
1978,5,6,43634,0.43847056
1978,5,7,43635,0.43788936
1978,5,8,43636,0.43836139
1978,5,9,43637,0.43927366
1978,5,10,43638,0.43865415
1978,5,11,43639,0.43735477
1978,5,12,43640,0.43504933
1978,5,13,43641,0.43366434
1978,5,14,43642,0.43144379
1978,5,15,43643,0.42953550
1978,5,16,43644,0.42849499
1978,5,17,43645,0.42788946
1978,5,18,43646,0.42693863
1978,5,19,43647,0.42374638
1978,5,20,43648,0.42167091
1978,5,21,43649,0.42038896
1978,5,22,43650,0.42046634
1978,5,23,43651,0.42037907
1978,5,24,43652,0.41889236
1978,5,25,43653,0.41751332
1978,5,26,43654,0.41571463
1978,5,27,43655,0.41431758
1978,5,28,43656,0.41545378
1978,5,29,43657,0.41515961
1978,5,30,43658,0.41545605
1978,5,31,43659,0.41661996
1978,6,1,43660,0.41685019
1978,6,2,43661,0.41496436
1978,6,3,43662,0.41256861
1978,6,4,43663,0.41013948
1978,6,5,43664,0.40902061
1978,6,6,43665,0.40714316
1978,6,7,43666,0.40592994
1978,6,8,43667,0.40508965
1978,6,9,43668,0.40433159
1978,6,10,43669,0.40182948
1978,6,11,43670,0.40018448
1978,6,12,43671,0.39695688
1978,6,13,43672,0.39397618
1978,6,14,43673,0.39106798
1978,6,15,43674,0.38800482
1978,6,16,43675,0.38605945
1978,6,17,43676,0.38270789
1978,6,18,43677,0.38011139
1978,6,19,43678,0.37848376
1978,6,20,43679,0.37627494
1978,6,21,43680,0.37514998
1978,6,22,43681,0.37344759
1978,6,23,43682,0.37155840
1978,6,24,43683,0.36987789
1978,6,25,43684,0.36832902
1978,6,26,43685,0.36697298
1978,6,27,43686,0.36531545
1978,6,28,43687,0.36254755
1978,6,29,43688,0.36011059
1978,6,30,43689,0.35763037
1978,7,1,43690,0.35512601
1978,7,2,43691,0.35382148
1978,7,3,43692,0.35234839
1978,7,4,43693,0.35117157
1978,7,5,43694,0.34993543
1978,7,6,43695,0.34780835
1978,7,7,43696,0.34630302
1978,7,8,43697,0.34482450
1978,7,9,43698,0.34508924
1978,7,10,43699,0.34418767
1978,7,11,43700,0.34237901
1978,7,12,43701,0.34145247
1978,7,13,43702,0.34079657
1978,7,14,43703,0.34021893
1978,7,15,43704,0.33947875
1978,7,16,43705,0.33773748
1978,7,17,43706,0.33551200
1978,7,18,43707,0.33284631
1978,7,19,43708,0.33038724
1978,7,20,43709,0.32861660
1978,7,21,43710,0.32643696
1978,7,22,43711,0.32510130
1978,7,23,43712,0.32442334
1978,7,24,43713,0.32429625
1978,7,25,43714,0.32380004
1978,7,26,43715,0.32355021
1978,7,27,43716,0.32328591
1978,7,28,43717,0.32138335
1978,7,29,43718,0.31905518
1978,7,30,43719,0.31785059
1978,7,31,43720,0.31665841
1978,8,1,43721,0.31478901
1978,8,2,43722,0.31294722
1978,8,3,43723,0.31114536
1978,8,4,43724,0.30966328
1978,8,5,43725,0.30842742
1978,8,6,43726,0.30692752
1978,8,7,43727,0.30562652
1978,8,8,43728,0.30435273
1978,8,9,43729,0.30281013
1978,8,10,43730,0.30153306
1978,8,11,43731,0.29990770
1978,8,12,43732,0.29827505
1978,8,13,43733,0.29621963
1978,8,14,43734,0.29322304
1978,8,15,43735,0.29132632
1978,8,16,43736,0.28898011
1978,8,17,43737,0.28619692
1978,8,18,43738,0.28283492
1978,8,19,43739,0.28140842
1978,8,20,43740,0.27991714
1978,8,21,43741,0.27694449
1978,8,22,43742,0.27371103
1978,8,23,43743,0.27266726
1978,8,24,43744,0.27227819
1978,8,25,43745,0.27142579
1978,8,26,43746,0.27105461
1978,8,27,43747,0.27069133
1978,8,28,43748,0.27000065
1978,8,29,43749,0.27029037
1978,8,30,43750,0.27076934
1978,8,31,43751,0.27145623
1978,9,1,43752,0.27050016
1978,9,2,43753,0.26896847
1978,9,3,43754,0.26961168
1978,9,4,43755,0.26875086
1978,9,5,43756,0.26878679
1978,9,6,43757,0.26986393
1978,9,7,43758,0.27028436
1978,9,8,43759,0.27128749
1978,9,9,43760,0.27177296
1978,9,10,43761,0.27244694
1978,9,11,43762,0.27236298
1978,9,12,43763,0.27356192
1978,9,13,43764,0.27418156
1978,9,14,43765,0.27475654
1978,9,15,43766,0.27529602
1978,9,16,43767,0.27455826
1978,9,17,43768,0.27464132
1978,9,18,43769,0.27417066
1978,9,19,43770,0.27458910
1978,9,20,43771,0.27444707
1978,9,21,43772,0.27475201
1978,9,22,43773,0.27523267
1978,9,23,43774,0.27707606
1978,9,24,43775,0.27741499
1978,9,25,43776,0.27669992
1978,9,26,43777,0.27593806
1978,9,27,43778,0.27655767
1978,9,28,43779,0.27734164
1978,9,29,43780,0.27710594
1978,9,30,43781,0.27626303
1978,10,1,43782,0.27484209
1978,10,2,43783,0.27387480
1978,10,3,43784,0.27323353
1978,10,4,43785,0.27260327
1978,10,5,43786,0.27251156
1978,10,6,43787,0.27172833
1978,10,7,43788,0.27077050
1978,10,8,43789,0.27127885
1978,10,9,43790,0.27182163
1978,10,10,43791,0.27150164
1978,10,11,43792,0.26990450
1978,10,12,43793,0.26924843
1978,10,13,43794,0.27053635
1978,10,14,43795,0.27096287
1978,10,15,43796,0.27169352
1978,10,16,43797,0.27187814
1978,10,17,43798,0.27196413
1978,10,18,43799,0.27225334
1978,10,19,43800,0.27273272
1978,10,20,43801,0.27274962
1978,10,21,43802,0.27272583
1978,10,22,43803,0.27314308
1978,10,23,43804,0.27373742
1978,10,24,43805,0.27472420
1978,10,25,43806,0.27712070
1978,10,26,43807,0.28005003
1978,10,27,43808,0.28115575
1978,10,28,43809,0.28123503
1978,10,29,43810,0.28079574
1978,10,30,43811,0.28031103
1978,10,31,43812,0.27975081
1978,11,1,43813,0.27850521
1978,11,2,43814,0.27816526
1978,11,3,43815,0.27889115
1978,11,4,43816,0.28011543
1978,11,5,43817,0.28023062
1978,11,6,43818,0.28005934
1978,11,7,43819,0.27972219
1978,11,8,43820,0.27905449
1978,11,9,43821,0.27964624
1978,11,10,43822,0.27982074
1978,11,11,43823,0.28121270
1978,11,12,43824,0.28258798
1978,11,13,43825,0.28266009
1978,11,14,43826,0.28206604
1978,11,15,43827,0.28250908
1978,11,16,43828,0.28328055
1978,11,17,43829,0.28275734
1978,11,18,43830,0.28261069
1978,11,19,43831,0.28300137
1978,11,20,43832,0.28261086
1978,11,21,43833,0.28135633
1978,11,22,43834,0.28039969
1978,11,23,43835,0.27884267
1978,11,24,43836,0.27757086
1978,11,25,43837,0.27665432
1978,11,26,43838,0.27626965
1978,11,27,43839,0.27650684
1978,11,28,43840,0.27599230
1978,11,29,43841,0.27599465
1978,11,30,43842,0.27610885
1978,12,1,43843,0.27680035
1978,12,2,43844,0.27532156
1978,12,3,43845,0.27556460
1978,12,4,43846,0.27649999
1978,12,5,43847,0.27730569
1978,12,6,43848,0.27680402
1978,12,7,43849,0.27694289
1978,12,8,43850,0.27786428
1978,12,9,43851,0.27944783
1978,12,10,43852,0.27990973
1978,12,11,43853,0.28021536
1978,12,12,43854,0.28066834
1978,12,13,43855,0.27962045
1978,12,14,43856,0.28060123
1978,12,15,43857,0.28004867
1978,12,16,43858,0.27941962
1978,12,17,43859,0.27912739
1978,12,18,43860,0.27828603
1978,12,19,43861,0.27853476
1978,12,20,43862,0.27925588
1978,12,21,43863,0.28033762
1978,12,22,43864,0.28008431
1978,12,23,43865,0.27947336
1978,12,24,43866,0.27978308
1978,12,25,43867,0.28045076
1978,12,26,43868,0.27970974
