Year,Month,Day,MJD,SLAM_ms
1977,6,24,43318,-0.14671799
1977,6,25,43319,-0.15805395
1977,6,26,43320,-0.15770617
1977,6,27,43321,-0.16182183
1977,6,28,43322,-0.17633417
1977,6,29,43323,-0.19072858
1977,6,30,43324,-0.21356127
1977,7,1,43325,-0.22865286
1977,7,2,43326,-0.20392290
1977,7,3,43327,-0.18109105
1977,7,4,43328,-0.17529136
1977,7,5,43329,-0.17062425
1977,7,6,43330,-0.17807720
1977,7,7,43331,-0.18466309
1977,7,8,43332,-0.17353472
1977,7,9,43333,-0.16929047
1977,7,10,43334,-0.18239322
1977,7,11,43335,-0.18682620
1977,7,12,43336,-0.18019893
1977,7,13,43337,-0.16388752
1977,7,14,43338,-0.14670875
1977,7,15,43339,-0.14373340
1977,7,16,43340,-0.13820262
1977,7,17,43341,-0.14056645
1977,7,18,43342,-0.16405594
1977,7,19,43343,-0.19151461
1977,7,20,43344,-0.19546331
1977,7,21,43345,-0.17783881
1977,7,22,43346,-0.16387876
1977,7,23,43347,-0.15928208
1977,7,24,43348,-0.15642376
1977,7,25,43349,-0.14440286
1977,7,26,43350,-0.12005738
1977,7,27,43351,-0.10612064
1977,7,28,43352,-0.11064046
1977,7,29,43353,-0.11122590
1977,7,30,43354,-0.10338029
1977,7,31,43355,-0.08709693
1977,8,1,43356,-0.07811251
1977,8,2,43357,-0.07934535
1977,8,3,43358,-0.08444010
1977,8,4,43359,-0.10475471
1977,8,5,43360,-0.13896829
1977,8,6,43361,-0.15369004
1977,8,7,43362,-0.15059727
1977,8,8,43363,-0.16174494
1977,8,9,43364,-0.18007071
1977,8,10,43365,-0.18686438
1977,8,11,43366,-0.16470444
1977,8,12,43367,-0.13868273
1977,8,13,43368,-0.14053103
1977,8,14,43369,-0.15621576
1977,8,15,43370,-0.16658063
1977,8,16,43371,-0.16173488
1977,8,17,43372,-0.14800700
1977,8,18,43373,-0.12881604
1977,8,19,43374,-0.11606661
1977,8,20,43375,-0.10671324
1977,8,21,43376,-0.10810894
1977,8,22,43377,-0.12845036
1977,8,23,43378,-0.13641469
1977,8,24,43379,-0.11454476
1977,8,25,43380,-0.08093502
1977,8,26,43381,-0.07270176
1977,8,27,43382,-0.08974590
1977,8,28,43383,-0.11046235
1977,8,29,43384,-0.11349509
1977,8,30,43385,-0.09395634
1977,8,31,43386,-0.08705154
1977,9,1,43387,-0.10025478
1977,9,2,43388,-0.11045110
1977,9,3,43389,-0.10292505
1977,9,4,43390,-0.09225535
1977,9,5,43391,-0.09545676
1977,9,6,43392,-0.10049489
1977,9,7,43393,-0.08842148
1977,9,8,43394,-0.06310319
1977,9,9,43395,-0.06764388
1977,9,10,43396,-0.08962978
1977,9,11,43397,-0.08210187
1977,9,12,43398,-0.05526576
1977,9,13,43399,-0.03515053
1977,9,14,43400,-0.02341926
1977,9,15,43401,-0.03381425
1977,9,16,43402,-0.05289119
1977,9,17,43403,-0.06240643
1977,9,18,43404,-0.07357418
1977,9,19,43405,-0.07201063
1977,9,20,43406,-0.07408947
1977,9,21,43407,-0.09010650
1977,9,22,43408,-0.09397816
1977,9,23,43409,-0.08713651
1977,9,24,43410,-0.07406783
1977,9,25,43411,-0.04967529
1977,9,26,43412,-0.02652274
1977,9,27,43413,-0.01250198
1977,9,28,43414,-0.02311210
1977,9,29,43415,-0.05123476
1977,9,30,43416,-0.06707908
1977,10,1,43417,-0.07257075
1977,10,2,43418,-0.07634901
1977,10,3,43419,-0.06389185
1977,10,4,43420,-0.05523714
1977,10,5,43421,-0.05392149
1977,10,6,43422,-0.05082136
1977,10,7,43423,-0.05465767
1977,10,8,43424,-0.06348061
1977,10,9,43425,-0.06083768
1977,10,10,43426,-0.06154543
1977,10,11,43427,-0.08783512
1977,10,12,43428,-0.10410752
1977,10,13,43429,-0.11227237
1977,10,14,43430,-0.12077466
1977,10,15,43431,-0.11758077
1977,10,16,43432,-0.10342841
1977,10,17,43433,-0.08390998
1977,10,18,43434,-0.07150459
1977,10,19,43435,-0.07453007
1977,10,20,43436,-0.08279860
1977,10,21,43437,-0.09095999
1977,10,22,43438,-0.11045245
1977,10,23,43439,-0.12350405
1977,10,24,43440,-0.11798619
1977,10,25,43441,-0.11446657
1977,10,26,43442,-0.10715875
1977,10,27,43443,-0.09157055
1977,10,28,43444,-0.09566405
1977,10,29,43445,-0.11084130
1977,10,30,43446,-0.10242580
1977,10,31,43447,-0.08034849
1977,11,1,43448,-0.06004156
1977,11,2,43449,-0.05106730
1977,11,3,43450,-0.05021717
1977,11,4,43451,-0.05621574
1977,11,5,43452,-0.08011683
1977,11,6,43453,-0.10534276
1977,11,7,43454,-0.10277356
1977,11,8,43455,-0.08468070
1977,11,9,43456,-0.08609383
1977,11,10,43457,-0.10733573
