Year,Month,Day,MJD,OAM_ms
1978,3,4,43571,-0.02624018
1978,3,5,43572,-0.03790023
1978,3,6,43573,0.00717085
1978,3,7,43574,-0.00217914
1978,3,8,43575,0.00117012
1978,3,9,43576,0.00149879
1978,3,10,43577,-0.00408855
1978,3,11,43578,-0.01008467
1978,3,12,43579,-0.01191466
1978,3,13,43580,-0.00918381
1978,3,14,43581,-0.00911178
1978,3,15,43582,-0.01256263
1978,3,16,43583,-0.02301196
1978,3,17,43584,0.00060191
1978,3,18,43585,-0.02167168
1978,3,19,43586,-0.01329988
1978,3,20,43587,-0.05171301
1978,3,21,43588,-0.00924803
1978,3,22,43589,-0.01234012
1978,3,23,43590,-0.05132131
1978,3,24,43591,-0.03130139
1978,3,25,43592,0.00796218
1978,3,26,43593,0.00149072
1978,3,27,43594,-0.00721862
1978,3,28,43595,-0.03295962
1978,3,29,43596,-0.02542997
1978,3,30,43597,-0.01710995
1978,3,31,43598,-0.03238208
1978,4,1,43599,-0.01988877
1978,4,2,43600,0.02317530
1978,4,3,43601,-0.02063259
1978,4,4,43602,0.00213191
1978,4,5,43603,0.01952866
1978,4,6,43604,0.00147955
1978,4,7,43605,0.01196997
1978,4,8,43606,0.00256334
1978,4,9,43607,-0.02229988
1978,4,10,43608,-0.01662788
1978,4,11,43609,-0.02386357
1978,4,12,43610,-0.00218072
1978,4,13,43611,-0.00042858
1978,4,14,43612,-0.01502242
1978,4,15,43613,0.00080744
1978,4,16,43614,-0.03271541
1978,4,17,43615,-0.04020244
1978,4,18,43616,-0.02383115
1978,4,19,43617,-0.06013882
1978,4,20,43618,-0.06169372
1978,4,21,43619,-0.04855595
1978,4,22,43620,-0.04158954
1978,4,23,43621,-0.03731983
1978,4,24,43622,-0.02705488
1978,4,25,43623,-0.02569923
1978,4,26,43624,0.00218376
1978,4,27,43625,-0.00985114
1978,4,28,43626,-0.00901243
1978,4,29,43627,-0.02142263
1978,4,30,43628,0.00603368
1978,5,1,43629,-0.00839611
1978,5,2,43630,-0.03747103
1978,5,3,43631,-0.01461953
1978,5,4,43632,-0.03140054
1978,5,5,43633,-0.02086653
1978,5,6,43634,-0.03520192
1978,5,7,43635,-0.05272561
1978,5,8,43636,-0.03691213
1978,5,9,43637,0.00112258
1978,5,10,43638,-0.02397559
1978,5,11,43639,-0.02699862
1978,5,12,43640,-0.00603561
1978,5,13,43641,-0.02593611
1978,5,14,43642,-0.05119502
1978,5,15,43643,-0.05996681
1978,5,16,43644,-0.05938263
1978,5,17,43645,-0.03703182
1978,5,18,43646,-0.02200262
1978,5,19,43647,-0.02517992
1978,5,20,43648,-0.03598662
1978,5,21,43649,-0.01341463
1978,5,22,43650,0.00028386
1978,5,23,43651,0.02259303
1978,5,24,43652,0.00346125
1978,5,25,43653,0.04113766
1978,5,26,43654,0.05314691
1978,5,27,43655,0.03846053
1978,5,28,43656,0.03006070
1978,5,29,43657,0.03868597
1978,5,30,43658,0.02371207
1978,5,31,43659,0.01712147
1978,6,1,43660,0.00065645
1978,6,2,43661,-0.00319009
1978,6,3,43662,-0.02291784
1978,6,4,43663,-0.01564940
1978,6,5,43664,-0.00427596
1978,6,6,43665,0.03421091
1978,6,7,43666,0.02904207
1978,6,8,43667,0.00756874
1978,6,9,43668,0.00169146
1978,6,10,43669,0.01300498
1978,6,11,43670,0.00600554
1978,6,12,43671,0.01022102
1978,6,13,43672,0.04221493
1978,6,14,43673,0.00266630
1978,6,15,43674,0.00199702
1978,6,16,43675,0.01578054
1978,6,17,43676,0.01254472
1978,6,18,43677,-0.02893205
1978,6,19,43678,-0.01063790
1978,6,20,43679,0.00026422
1978,6,21,43680,-0.00014643
1978,6,22,43681,-0.00492722
1978,6,23,43682,-0.00378453
1978,6,24,43683,0.02371523
1978,6,25,43684,0.02587737
1978,6,26,43685,0.01960193
1978,6,27,43686,-0.00554059
1978,6,28,43687,-0.02661380
1978,6,29,43688,-0.02941639
1978,6,30,43689,-0.03767004
1978,7,1,43690,-0.06509416
1978,7,2,43691,-0.03621595
1978,7,3,43692,-0.02875308
1978,7,4,43693,-0.01944003
1978,7,5,43694,-0.01537181
1978,7,6,43695,-0.00563799
1978,7,7,43696,0.01014561
1978,7,8,43697,-0.01398655
1978,7,9,43698,-0.01686770
1978,7,10,43699,-0.05071314
1978,7,11,43700,-0.04166373
1978,7,12,43701,-0.01799196
1978,7,13,43702,0.00690389
1978,7,14,43703,0.01222946
1978,7,15,43704,-0.01433514
1978,7,16,43705,-0.03628296
1978,7,17,43706,-0.03948915
1978,7,18,43707,-0.08168810
1978,7,19,43708,-0.06132699
1978,7,20,43709,-0.05987547
1978,7,21,43710,-0.06058419
1978,7,22,43711,-0.05253383
1978,7,23,43712,-0.04357764
1978,7,24,43713,-0.01744301
1978,7,25,43714,-0.03546377
1978,7,26,43715,-0.02574172
1978,7,27,43716,-0.01212777
1978,7,28,43717,0.01976999
1978,7,29,43718,0.00814310
1978,7,30,43719,0.02477939
1978,7,31,43720,0.01597679
1978,8,1,43721,-0.03155818
1978,8,2,43722,0.00592476
1978,8,3,43723,-0.01188041
1978,8,4,43724,-0.05033683
1978,8,5,43725,-0.02197115
1978,8,6,43726,0.02321247
1978,8,7,43727,0.02272536
1978,8,8,43728,0.01432937
1978,8,9,43729,-0.02998376
1978,8,10,43730,-0.04293697
1978,8,11,43731,-0.02956943
1978,8,12,43732,0.00050974
1978,8,13,43733,0.02700440
1978,8,14,43734,0.03610057
1978,8,15,43735,0.02821185
1978,8,16,43736,0.00905816
1978,8,17,43737,0.01389185
1978,8,18,43738,-0.00845840
1978,8,19,43739,0.01584032
1978,8,20,43740,0.04148625
1978,8,21,43741,0.08127530
1978,8,22,43742,0.04524539
1978,8,23,43743,0.03157190
1978,8,24,43744,0.02429871
1978,8,25,43745,0.00201388
1978,8,26,43746,-0.01234993
1978,8,27,43747,-0.00283223
1978,8,28,43748,-0.01361195
1978,8,29,43749,-0.02249688
1978,8,30,43750,-0.01870041
1978,8,31,43751,-0.00777371
1978,9,1,43752,-0.04447867
1978,9,2,43753,-0.02416577
1978,9,3,43754,0.03259751
1978,9,4,43755,0.04892753
1978,9,5,43756,0.02341650
1978,9,6,43757,0.00689482
1978,9,7,43758,-0.01602605
1978,9,8,43759,-0.01763852
1978,9,9,43760,-0.01666935
1978,9,10,43761,0.00137052
1978,9,11,43762,-0.00004623
1978,9,12,43763,0.00997124
1978,9,13,43764,0.02141860
1978,9,14,43765,0.02664610
1978,9,15,43766,0.02012270
1978,9,16,43767,0.00906446
1978,9,17,43768,-0.02503813
1978,9,18,43769,-0.02835337
1978,9,19,43770,0.00292844
1978,9,20,43771,-0.02948538
1978,9,21,43772,0.02189072
1978,9,22,43773,-0.00679847
1978,9,23,43774,0.00892499
1978,9,24,43775,0.04818428
1978,9,25,43776,0.03802673
1978,9,26,43777,0.01398984
1978,9,27,43778,0.02451173
