Year,Month,Day,MJD,AAM_ms
1978,3,1,43568,0.76199936
1978,3,2,43569,0.69772936
1978,3,3,43570,0.65784109
1978,3,4,43571,0.63525289
1978,3,5,43572,0.60583949
1978,3,6,43573,0.57752928
1978,3,7,43574,0.48937576
1978,3,8,43575,0.51283989
1978,3,9,43576,0.48254784
1978,3,10,43577,0.52924671
1978,3,11,43578,0.48992105
1978,3,12,43579,0.42617705
1978,3,13,43580,0.41125581
1978,3,14,43581,0.41495993
1978,3,15,43582,0.42504563
1978,3,16,43583,0.44179817
1978,3,17,43584,0.50152906
1978,3,18,43585,0.52754046
1978,3,19,43586,0.54682214
1978,3,20,43587,0.51321240
1978,3,21,43588,0.52187113
1978,3,22,43589,0.53154847
1978,3,23,43590,0.58650770
1978,3,24,43591,0.61981103
1978,3,25,43592,0.58336906
1978,3,26,43593,0.57490995
1978,3,27,43594,0.57542184
1978,3,28,43595,0.63858166
1978,3,29,43596,0.64035050
1978,3,30,43597,0.64907327
1978,3,31,43598,0.59058792
1978,4,1,43599,0.53167342
1978,4,2,43600,0.53351661
1978,4,3,43601,0.54364420
1978,4,4,43602,0.55611118
1978,4,5,43603,0.54797580
1978,4,6,43604,0.54907289
1978,4,7,43605,0.53993150
1978,4,8,43606,0.57956507
1978,4,9,43607,0.54597103
1978,4,10,43608,0.54743073
1978,4,11,43609,0.53172260
1978,4,12,43610,0.53532869
1978,4,13,43611,0.52406822
1978,4,14,43612,0.49237545
1978,4,15,43613,0.48749537
1978,4,16,43614,0.55626951
1978,4,17,43615,0.57262201
1978,4,18,43616,0.50885785
1978,4,19,43617,0.51941107
1978,4,20,43618,0.57623786
1978,4,21,43619,0.57584978
1978,4,22,43620,0.56770388
1978,4,23,43621,0.55283585
1978,4,24,43622,0.53759385
1978,4,25,43623,0.53561734
1978,4,26,43624,0.52780658
1978,4,27,43625,0.56442809
1978,4,28,43626,0.57022700
1978,4,29,43627,0.56313645
1978,4,30,43628,0.53443800
1978,5,1,43629,0.50258083
1978,5,2,43630,0.51719130
1978,5,3,43631,0.49685003
